"","Nome rede","Link veja"
"","1900 Pizzaria","https://vejasp.abril.com.br/estabelecimento/1900/"
"","31 Restaurante","https://vejasp.abril.com.br/estabelecimento/31-restaurante/"
"","A Baianeira (MASP)","https://vejasp.abril.com.br/estabelecimento/baianeira-masp/"
"","A Bela Sintra","https://vejasp.abril.com.br/estabelecimento/a-bela-sintra/"
"","A Pizza da Mooca","https://vejasp.abril.com.br/estabelecimento/a-pizza-da-mooca/"
"","Acrópolis","https://vejasp.abril.com.br/estabelecimento/acropolis/"
"","Almanara","https://vejasp.abril.com.br/estabelecimento/almanara/"
"","Altruísta Osteria & Enoteca","https://vejasp.abril.com.br/estabelecimento/altruista-osteria-enoteca/"
"","Alyah","https://vejasp.abril.com.br/estabelecimento/alyah/"
"","Apó Cozinha","https://vejasp.abril.com.br/estabelecimento/apo-cozinha/"
"","Arábia","https://vejasp.abril.com.br/estabelecimento/arabia-cerqueira-cesar/"
"","Bar do Giba","https://vejasp.abril.com.br/estabelecimento/bar-do-giba/"
"","Bardega","https://vejasp.abril.com.br/estabelecimento/bardega/"
"","Bark & Crust","https://vejasp.abril.com.br/estabelecimento/bark-crust/"
"","Basilicata","https://vejasp.abril.com.br/estabelecimento/basilicata-restaurante/"
"","Basilicata Cucina","https://vejasp.abril.com.br/estabelecimento/basilicata-trattoria/"
"","Beefbar","https://vejasp.abril.com.br/estabelecimento/beefbar/"
"","Beverino","https://vejasp.abril.com.br/estabelecimento/beverino-bar/"
"","Bolinha","https://vejasp.abril.com.br/estabelecimento/bolinha/"
"","Bráz","https://vejasp.abril.com.br/estabelecimento/braz-moema/"
"","Bráz Trattoria","https://vejasp.abril.com.br/estabelecimento/braz-trattoria/"
"","Ça Va Erick Jacquin","https://vejasp.abril.com.br/estabelecimento/ca-va/"
"","Camélia Òdòdó","https://vejasp.abril.com.br/estabelecimento/camelia-ododo/"
"","Capim Santo","https://vejasp.abril.com.br/estabelecimento/capim-santo/"
"","Caracol","https://vejasp.abril.com.br/estabelecimento/caracol/"
"","Carlos","https://vejasp.abril.com.br/estabelecimento/carlos-pizza/"
"","Carlota","https://vejasp.abril.com.br/estabelecimento/carlota/"
"","Carmen la Loca","https://vejasp.abril.com.br/estabelecimento/carmen-la-loca/"
"","Casca Gastrobar","https://vejasp.abril.com.br/estabelecimento/casca-gastrobar/"
"","Castelões","https://vejasp.abril.com.br/estabelecimento/casteloes/"
"","Cervejaria Central","https://vejasp.abril.com.br/estabelecimento/cervejaria-central/"
"","Cervejaria Tarantino","https://vejasp.abril.com.br/estabelecimento/cervejaria-tarantino/"
"","Chef Benon","https://vejasp.abril.com.br/estabelecimento/chef-benon/"
"","Chez Claude","https://vejasp.abril.com.br/estabelecimento/chez-claude/"
"","Chiado","https://vejasp.abril.com.br/estabelecimento/chiado/"
"","China Lake","https://vejasp.abril.com.br/estabelecimento/china-lake/"
"","Chou","https://vejasp.abril.com.br/estabelecimento/chou/"
