,Nome da rede,Link veja
,A Casa do Porco,https://vejasp.abril.com.br/estabelecimento/a-casa-do-porco/
,Adega Santiago,https://vejasp.abril.com.br/estabelecimento/adega-santiago/
,Ae! Cozinha,https://vejasp.abril.com.br/estabelecimento/ae-cozinha/
,A Figueira Rubaiyat,https://vejasp.abril.com.br/estabelecimento/a-figueira-rubaiyat/
,Aguzzo,https://vejasp.abril.com.br/estabelecimento/aguzzo-cucina-vino/
,Aizomê,https://vejasp.abril.com.br/estabelecimento/aizome/
,Amadeus,https://vejasp.abril.com.br/estabelecimento/amadeus/
,Ama.zo,https://vejasp.abril.com.br/estabelecimento/amazo/
,Animus,https://vejasp.abril.com.br/estabelecimento/animus/
,Arturito,https://vejasp.abril.com.br/estabelecimento/arturito/
,Bar Astor,https://vejasp.abril.com.br/estabelecimento/astor/
,Aya Japanese Cuisine,https://vejasp.abril.com.br/estabelecimento/aya-japanese-cuisine/
,Rubaiyat,https://vejasp.abril.com.br/estabelecimento/baby-beef-rubaiyat-jardim-paulistano/
,Bagaceira,https://vejasp.abril.com.br/estabelecimento/bagaceira/
,Balaio IMS,https://vejasp.abril.com.br/estabelecimento/balaio-ims/
,Banzeiro,https://vejasp.abril.com.br/estabelecimento/banzeiro/
,Barbacoa,https://vejasp.abril.com.br/estabelecimento/barbacoa-itaim-bibi/
,Bar do Luiz Fernandes,https://vejasp.abril.com.br/estabelecimento/bar-do-luiz-fernandes/
,Bar do Luiz Nozoie,https://vejasp.abril.com.br/estabelecimento/bar-do-luiz-nozoie/
,Bar dos Arcos,https://vejasp.abril.com.br/estabelecimento/bar-dos-arcos/
,Benza,https://vejasp.abril.com.br/estabelecimento/benza/
,Bistrot de Paris,https://vejasp.abril.com.br/estabelecimento/bistrot-de-paris/
,Bocada's,https://vejasp.abril.com.br/estabelecimento/bocadas/
,Borgo Mooca,https://vejasp.abril.com.br/estabelecimento/borgo/
,Bottega Bernacca,https://vejasp.abril.com.br/estabelecimento/bottega-bernacca/
,Bottled Dog,https://vejasp.abril.com.br/estabelecimento/bottled-dog/
,By Koji,https://vejasp.abril.com.br/estabelecimento/by-koji/
,Cais,https://vejasp.abril.com.br/estabelecimento/cais/
,Camelo,https://vejasp.abril.com.br/estabelecimento/camelo-jardim-paulista/
,Cantaloup,https://vejasp.abril.com.br/estabelecimento/cantaloup/
,Caos Brasilis,https://vejasp.abril.com.br/estabelecimento/caos-brasilis/
,Casa Europa,https://vejasp.abril.com.br/estabelecimento/casa-europa/
,Casa Rios Restaurante,https://vejasp.abril.com.br/estabelecimento/casa-rios/
,Cava Bar,https://vejasp.abril.com.br/estabelecimento/cava-bar/
,Cepa,https://vejasp.abril.com.br/estabelecimento/cepa/
,Charco,https://vejasp.abril.com.br/estabelecimento/charco/
,Chef Rouge,https://vejasp.abril.com.br/estabelecimento/chef-rouge-jardins/
,Chef Vivi,https://vejasp.abril.com.br/estabelecimento/chef-vivi/
,Chimichurri Parrilla,https://vejasp.abril.com.br/estabelecimento/chimichurri-parrilla/
,Clos Wine Bar,https://vejasp.abril.com.br/estabelecimento/clos-wine-bar/
,Cora,https://vejasp.abril.com.br/estabelecimento/cora/
,Dalva e Dito,https://vejasp.abril.com.br/estabelecimento/dalva-dito/
,Des Cucina,https://vejasp.abril.com.br/estabelecimento/des-cucina/
,De Segunda,https://vejasp.abril.com.br/estabelecimento/de-segunda/
,Cervejaria Dogma,https://vejasp.abril.com.br/estabelecimento/dogma/
,D.O.M.,https://vejasp.abril.com.br/estabelecimento/dom/
,Bar da Dona Onça,https://vejasp.abril.com.br/estabelecimento/dona-onca/
,Due Cuochi Cucina,https://vejasp.abril.com.br/estabelecimento/due-cuochi-cucina-itaim-bibi/
,Ecully,https://vejasp.abril.com.br/estabelecimento/ecully/
,Elevado Bar,https://vejasp.abril.com.br/estabelecimento/elevado-bar/
,Emiliano,https://vejasp.abril.com.br/estabelecimento/emiliano/
,Esquina do Souza,https://vejasp.abril.com.br/estabelecimento/esquina-do-souza/
,Evvai,https://vejasp.abril.com.br/estabelecimento/evvai/
,Fame Osteria,https://vejasp.abril.com.br/estabelecimento/fame-osteria/
,Fasano,https://vejasp.abril.com.br/estabelecimento/fasano/
,Fatz Delícias,https://vejasp.abril.com.br/estabelecimento/fatz-delicias/
,Fel,https://vejasp.abril.com.br/estabelecimento/fel/
,Fitó,https://vejasp.abril.com.br/estabelecimento/fito/
,Foglia Forneria,https://vejasp.abril.com.br/estabelecimento/foglia-forneria-artigianale/
,Fogo de Chão,https://vejasp.abril.com.br/estabelecimento/fogo-de-chao-jardins/
,Gero,https://vejasp.abril.com.br/estabelecimento/gero/
,Guilhotina Bar,https://vejasp.abril.com.br/estabelecimento/guilhotina/
,Hirá Ramen Izakaya,https://vejasp.abril.com.br/estabelecimento/hira-ramen-izakaya/
,Huevos de Oro,https://vejasp.abril.com.br/estabelecimento/huevos-de-oro/
,Huto,https://vejasp.abril.com.br/estabelecimento/huto/
,Ici Bistrô,https://vejasp.abril.com.br/estabelecimento/ici-bistro/
,Il Covo Bar,https://vejasp.abril.com.br/estabelecimento/il-covo/
,Imakay,https://vejasp.abril.com.br/estabelecimento/imakay/
,Izakaya Issa,https://vejasp.abril.com.br/estabelecimento/izakaya-issa/
,Iza Padaria Artesanal,https://vejasp.abril.com.br/estabelecimento/iza-padaria-artesanal/
