,Unnamed: 0,Nome da rede,Link veja,Critico,texto
0,,A Casa do Porco,https://vejasp.abril.com.br/estabelecimento/a-casa-do-porco/,Resenha por Saulo Yassuda,"Sempre há uma novidadezinha que estimula o público a retornar à Casa do Porco Bar. Ainda que, mesmo sem mudança, os frequentadores voltariam de qualquer jeito — a comida é incrível. É difícil não ser seduzido pelas receitas do casal de chefs Jefferson e Janaína Rueda, cheias de sabor e técnica, servidas em um salão animado e em mesas igualmente festivas na área externa. Logo no início da refeição, pode chegar o conjunto de embutidos e curados suínos (R$ 39,00), com mortadela, copa lombo e guanciale (papada), entre outros. O excelente porco sanzé (R$ 69,00), assado inteiro na churrasqueira até ficar com a carne bem macia e com pele crocante, costuma ter acompanhamentos mutantes. O conjunto de guarnições pode incluir purê de abóbora, creme de espinafre, saladinha de tomate e mais, a depender da época do ano e dos vegetais orgânicos que vêm do sítio dos sócios e de parceiros. Outra boa-nova da casa é, quem diria, vegetariana. O ótimo menu degustação (R$ 165,00, cinco etapas), que dá uma amostra da cozinha local e muda de tempos em tempos, recebeu neste ano uma variação sem carne (mesmo preço). Isso significa que o torresmo de pancetta coberto de goiabada, um dos novos clássicos da cidade, ganha um alter ego na forma de bloquinho de queijo de coalho empanado, também muito bom. Para beber, a jabuticaba, fruta da Mata Atlântica, vai ao copo em dois formatos: borbulhante (R$ 40,00 a taça), elaborado em parceria com a Companhia dos Fermentados, e licor (R$ 22,00 a dose), um docinho para depois da sobremesa."
1,,Adega Santiago,https://vejasp.abril.com.br/estabelecimento/adega-santiago/,Resenha por Saulo Yassuda,"Pertinho de avenidas frenéticas — a Faria Lima e a Rebouças —, o ponto do bar-restaurante é até que tranquilo. Lá dentro, porém, o ritmo dos garçons precisa ser igualmente acelerado, já que público não falta no salão meio rústico, meio chique. Até um ambiente extra, de entrada independente da unidade, foi inaugurado ao ar livre. Tanto sucesso tem o porquê: a cozinha bem cuidada, que está em boa fase (nos últimos dois anos, a experiência gastronômica era vacilante). Comprova-se a qualidade desde os petiscos, como o bom bolinho de bacalhau sobre molho de tomate com uma fatia de chorizo (R$ 19,00) e a porção de linguiça de pato com mostarda de Dijon mais um pãozinho (R$ 24,00). Esses acepipes acompanham bem o chope Tarantino IPA (R$ 17,00) ou ainda um dos 130 rótulos de vinho — a maioria ibérico — da carta. Boa parte das receitas do menu é marítima, como o bacalhau à romaneira (ao forno com cebola-roxa, ovo e uma úmida farofa de broa e couve com castanha portuguesa; R$ 138,00). A espetada do mar (polvo, lula e camarão grelhados; R$ 92,00) tem a possibilidade de vir acompanhada de batata rústica (R$ 23,00)."
2,,Ae! Cozinha,https://vejasp.abril.com.br/estabelecimento/ae-cozinha/,Resenha por Arnaldo Lorençato,"É uma surpresa e das melhores. No pedaço mais etílico e culinário da Vila Mariana, onde se multiplicam os bares e botequins, há também este ótimo representante gastronômico. O Ae! Cozinha, que ocupa um sobradinho residencial, levou dois títulos de VEJA SÃO PAULO COMER & BEBER em 2020: bom e barato e chefs revelação. À frente da cozinha, o casal Ygor Lopes e Walkyria Fagundes não tem rotina em sua produção. O cardápio é renovado constantemente. A melhor forma de conhecer as criações da dupla de afinados cozinheiros era o menu degustação, infelizmente aposentado em outubro. Agora, são servidas só opções à la carte. Na linha de frente, o couvert (R$ 15,00) tem pão de fermentação natural, patê cremoso de fígado de galinha com redução de vinho do Porto e manteiga da casa. Para começar, há ainda vichyssoise de batata-do ce (R$ 42,00) com ovo perfeito, ervilha-tor ta na brasa, couve cavolo nero e farofa de milho e cenouras assadas (R$ 45,00) junto de purê de couve-flor, vinagrete de noisette, pato curado e molho rôti de cebola tostada de sabor intenso. O prato principal pode ser o pescado do dia grelhado com creme de cenoura, palmito pupunha, funcho e carpaccio de rabanete (R$ 85,00), o arroz de brócolis a romanesco com macadâmia, queijo Tulha e crocante de arroz selvagem (R$ 62,00) ou a carne de lento cozimento com picles de cebola, alho-poró grelhado, purê de mandioca, caldo de carne e couve crespa (R$ 87,00). São três as sobremesas: bomba de maracujá, manjericão, castanha-do-pará e sorvete de mel (R$ 30,00), torta cremosa de gorgonzola, doce de leite da casa, compota de limão e crumble de avelã (R$ 28,00) e entremet de morango, hibisco, alecrim, espuma de capim-santo e crocante de coco (R$ 30,00). Vale incluir ainda um dos frios de produção própria, a mortadela ou presunto com pão de fermentação natural (R$ 36,00, para dois). A sempre muito gentil recepção da clientela e a administração está nas mãos do sócio Felipe Primi Frangione."
3,,A Figueira Rubaiyat,https://vejasp.abril.com.br/estabelecimento/a-figueira-rubaiyat/,Resenha por Arnaldo Lorençato,"Restaurante cartão-postal, irmão dedicado aos pescados da churrascaria Rubaiyat. Suas melhores e mais disputadas mesas ficam sob a sombra de uma figueira que, acredita-se, é centenária. Nesse cenário de encantamento, circulam receitas executadas pelo potiguar Francisco Gameleira, o Chicão, que inspiram o paladar. Uma salada morna de frutos do mar — vieiras, polvo, mexilhão e camarão — combina-se ao frescor de rúcula, manga, tomate, pepino e palmito (R$ 125,00). Uma preciosidade é o franguinho caipira da Fazenda Rubaiyat marinado em alecrim e limão-siciliano e servido com creme de milho (R$ 85,00). Para quem não resiste a novidades, uma sobremesa recém-chegada ao cardápio é a versão da banoffee com doce de leite argentino no lugar do leite condensado cozido (R$ 27,00)."
4,,Aguzzo,https://vejasp.abril.com.br/estabelecimento/aguzzo-cucina-vino/,Resenha por Arnaldo Lorençato e Saulo Yassuda,"Uma rua tranquila de Pinheiros abriga o restaurante de esquina. Se parte do salão pode ser vista de fora através das paredes envidraçadas, a discrição no interior é mantida pelas mesas espaçadas, o que deixa os grupos à vontade para as conversas mais sigilosas. O menu apresenta clássicos italianos como o risoto amarelinho de açafrão, que é coberto por ragu de ossobuco (R$ 95,00). O tiramisu da sobremesa é preparado com bastante creme de queijo mascarpone (R$ 31,00). Ao lado do restaurante, uma pequena rotisseria vende alguns produtos da casa."
5,,Aizomê,https://vejasp.abril.com.br/estabelecimento/aizome/,Resenha por Arnaldo Lorençato,"Numa categoria em que São Paulo é muito bem representada, o Aizomê se destaca pelo trabalho apurado que vem fazendo a chef e sócia Telma Shiraishi, que pode ser notado mais claramente no menu degustação da casa (R$ 250,00 a R$ 405,00) — confirme na hora da reserva, porque alguns itens sazonais podem não estar disponíveis. Parte deles aparece à la carte (os preços dessas opções vão entre parênteses). Pode dar início à refeição o kakuni, aperitivo de atum em cubos cozidos, seguido pela salada de polvo e algas com pasta de umê e pelo tempurá de peixe branco, como a pescada-cambucu, no shissô, e uma versão em que se substitui o peixe por alcachofra com ovas de uni, o sempre delicioso ouriço-do-mar. A lista de entradas se encerra com uma seleção de sashimis de atum, pargo, olhete, serra e carapau. Uma das receitas quentes é a pescada-amarela com creme de bacalhau (R$ 54,00) envolta em abobrinhas verde e amarela de pequenos produtores ao suave molho cremoso de yuzu. Para acompanhar a língua de wagyu (R$ 59,00) há risoto cozido no dashi, clássico caldo de peixe. Escolhe-se em seguida entre os macarrões soba e udon cobertos de tempurá de legumes (R$ 70,00 cada um). O sushi (a partir de R$ 12,00) encerra as opções salgadas do banquete. Torça para encontrar o carapau gordo, macio, intenso. Ou seja, sensacional. Um docinho? Tem bolo de morango com chantili (R$ 24,00) e musse de chocolate (mesmo preço) servida em potinhos e colher que lembram apetrechos de um jardim. Embaixadora da gastronomia japonesa pelo governo do Japão, a chef toca uma filial mais simples do Aizomê na Japan House (Avenida Paulista, 52)."
6,,Amadeus,https://vejasp.abril.com.br/estabelecimento/amadeus/,Resenha por Arnaldo Lorençato ,"O Amadeus se consagrou, com perdão do trocadilho, um porto seguro para quem ama pescados. Originalmente, o cardápio tinha a orientação dos proprietários Ana e Tadeu Masano, mas desde 2002 está nas mãos da chef Bella Masano, que faz um trabalho exemplar. Embora flerte com a alta gastronomia, a cozinheira não deixa de servir deliciosas trivialidades, como o pastelzinho de massa fina e cheia de bolinhas crocantes com recheio só de camarão (R$ 39,00, porção com oito unidades). Também imprimiu requintes ao cuscuz de camarão à paulista, com massa de farinha de milho de insuspeita leveza à qual se amalgamam camarão- branco de pesca artesanal com ervilha e palmito frescos (R$ 65,00). O peixe no papelote transparente (R$ 145,00), que pode ser a pescada- -amarela com muito tomate em cubos, cebola, alcaparra e azeitona preta em pequena quantidade, já que à parte chega uma farofa de azeitona preta e um azeite de ervas, é a glória da simplicidade. Uma versão do tradicional pudim de leite feito com macadâmia acompanhada de sorvete de pistache (R$ 39,00) é excepcional. "
7,,Ama.zo,https://vejasp.abril.com.br/estabelecimento/amazo/,Resenha por Arnaldo Lorençato,"A culinária do Peru tem este bom representante instalado no antigo jardim de um palacete histórico do centro da capital. Quem responde pela elaboração do cardápio é o chef Enrique Paredes, titular do Barra Khuda, em Lima. Entre as sugestões propostas pelo cozinheiro estão as vieiras em sal de alho, purê de abóbora e mel de tucupi preto que tem o efeito de um caramelo líquido (R$ 68,00, quatro unidades), o ceviche clássico feito com cubos de peixe do dia marinados em leite de tigre acompanhado de batata-doce e milho (R$ 59,00) e o caprichado arroz cremoso com polvo, lula e camarões (R$ 79,00). Clássica sobremesa, o suspiro limeño (R$ 36,00) vem numa versão de doce de leite feito no restaurante com cobertura de suspiro salpicado de pimenta togarashi, praliné e sorvete. Valeu reclamar da qualidade e da forma de tirar o café (R$ 7,00) no guia do ano passado. Houve uma melhora brutal. "
8,,Animus,https://vejasp.abril.com.br/estabelecimento/animus/,Resenha por Arnaldo Lorençato,"Uma das indicadas ao título de chef revelação, Giovanna Grossi faz um trabalho que vem se aprimorando dia a dia neste restaurante envidraçado. Ela prepara petiscos de pescados, como o bolinho de camarão com alecrim e maionese de páprica picante (R$ 35,00, cinco unidades), que lembra um cremoso croquete espanhol. O bolinho de repolho tostado com tomilho, limão-taiti e chutney de tomates assados com pétalas de rosas (R$ 32,00, cinco unidades) tem um agradável aroma defumado. A costelinha de porco com maçã verde e um toque de molho de café sai por R$ 38,00. Brilha também o capítulo edulcorado do cardápio com a espuma de pudim com crocante de limão-taiti e caramelo (R$ 18,00). A melhor forma de conhecer o talento da cozinheira promissora é provar o menu degustação (R$ 210,00) que ela propõe em seis etapas com receitas que variam sempre. Há, ainda, uma versão vegetariana por R$ 195,00"
9,,Arturito,https://vejasp.abril.com.br/estabelecimento/arturito/,Resenha por Arnaldo Lorençato ,"Continua uma das melhores escolhas entre os restaurantes da categoria variados. O motivo? Tem ótimas receitas da chef Paola Carosella, que deixou no início de 2021 o MasterChef Brasil, reality culinário que a celebrizou, para se dedicar à produção de conteúdo em seu canal no YouTube. São uma maravilha os mexilhões à provençal num caldo rico de vinho branco com torradas de pão feito na casa (R$ 48,00). Também empolgam as ostras frescas (R$ 46,00, seis unidades). Ainda do mar, a afinada cozinha solta o polvo assado no forno a lenha guarnecido de arroz de tomates e aïoli (R$ 120,00). Tem um delicioso toque picante e, certamente, o arroz ficaria melhor se não fosse expedido com um cozimento um tantinho excessivo. Uma gostosura vegana combina cogumelos-de-paris laminados e assados com ervas e cebola-roxa, creme de castanhas e pão pita assado na hora (R$ 68,00). O caprichado tiramisu (R$ 24,00) encerra."
